title,company,experience,salary,locations,description,industry,department,employment_type,skills,scraped_at
Data Analyst(English Required),Peroptyx,0 - 5 years,Not Disclosed,[],"For thousands of years, maps have provided humans with the knowledge they need to make decisions. As a Maps Evaluator, you will have the opportunity to provide ground truth for your town, city or country.\n\nAt Peroptyx, we are looking for Data Analysts who will review mapping data for digital mapping applications. Your research capabilities will validate and ensure that the navigation of certain routes are accurate and safe.\nAs part of this role you will verify that business names and opening hours are correct. You will check that the distance from a starting point to an end destination is listed accurately resulting in better user experiences.\n\nWith this job you can plan your days around this highly flexible working schedule, work weekends or late evenings, all from the comfort of your own office. The flexibility of our roles minimizes the impact on your daily routine.\nSo, whether you are a student looking to earn as you learn, a retiree looking for a new challenge a part-time/full time professional or a work from home parent, Peroptyx has the right role for you!\n\nIdeal Candidate\nFluent in English (Strictly Required)\nExcellent research skills.\nExcellent local knowledge of India.\nGood understanding and general knowledge of the geography and culture of India.\nAnalytical mindset.\n\nJob Requirements\nMust be living in India for a minimum of 5 consecutive years.\nMust pass an online open-book exam that can verify your full understanding of the material and concepts.\nMust be willing to work a minimum of 10 hours and up to 20 hours per week depending on task availability.\nGood working knowledge of search engines, map applications and familiarity with social media platforms.\nStrong ability to learn, understand and apply multiple sets of different instructions.\nAll work must be of an independent nature.\n\nTechnical requirements to perform the work\nAccess to a laptop or computer which uses:\nA logon account unique to you\nAnti-virus solution that is kept up to date, with regular scans performed\nOnly one member per household may apply\nNB. All products should be provided at your own expense.\n\nBenefits\nWork up to 20 hours per week.\nEarn a competitive rate of pay.\nDevelop your research skills.\nAvoid the long commute.\nWork from the comfort of your home office.\nEnjoy the flexibility of setting your own working hours!\n\nApply Online Today!",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Part Time, Freelance/Homebased","['Data Analysis', 'English', 'Data Analytics', 'Data Mapping']",2025-07-01 04:56:05
Data Analyst - B,Capgemini,2 - 4 years,Not Disclosed,['Bengaluru'],"Data analysts import, inspect, clean, transform, validate, model, or interpret collections of data with regard to the business goals of the company. They ensure that the data sources and repositories provide consistent and reliable data. Data analysts use different algorithms and IT tools as demanded by the situation and the current data. They might prepare reports in the form of visualizations such as graphs, charts, and dashboards.\n\n\nJob Description - Grade Specific\nThe roles plays a critical role in leveraging data analysis to provide insights and recommendations to the stakeholders. Technical skills combined with consulting skills to support decision-making, drive business growth, and deliver value through data-driven insights.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['algorithms', 'charts', 'data analysis', 'data validation', 'dashboards', 'hlookup', 'macros', 'python', 'data analytics', 'data mining', 'pivot table', 'power bi', 'business analysis', 'vlookup', 'machine learning', 'business intelligence', 'sql', 'tableau', 'vba', 'advanced excel', 'data visualization']",2025-07-01 04:56:07
Data Analyst,Simplilearn,1 - 4 years,Not Disclosed,['Bengaluru( HSR Layout )'],"Position - Data Analyst/Senior Data Analyst\n\nAbout Simplilearn\nSimplilearn is the world's #1 online bootcamp providing digital skills training to help individuals acquire the skills they need to thrive in the digital economy. We provide rigorous online training in disciplines such as Cyber Security, Cloud Computing, Project Management, Digital Marketing, and Data Science, among others. In other words, we specialize in areas where technologies and best practices are changing rapidly, and the demand for qualified candidates significantly exceeds supply.\n\nDesigned and continually updated by 2000+ renowned industry and academic experts, we offer a choice of individual courses, comprehensive certification programs, and partnerships with some world-renowned universities, helping millions of professionals with work-ready skills they need to excel in their career, and thousands of organizations with their corporate training and employee upskilling needs. Our practical and applied approach has resulted in 85 percent of learners getting promotions or new jobs. Learn by doing over 1,000 live classes each month, real-world projects, and more. Experience the new way of learning at Simplilearn.\nOur analytics team is composed of talented and driven problem-solvers. We never stop learning, we teach one another, and we take immense pride in our work. We are looking for someone to join our top-notch Analytics team.\n\nWhat Youll Do\nDefine key metrics for the various domains including business, marketing, website and post purchase (Engagement, Completion, Experience etc) that would help the FSA Team streamline their operations and drive improvements.\nUnderstand the strategic roadmap of business stakeholders and support them in achieving the targets.\nCollaborate with FSA team, Data Engineering team to support strategic growth initiatives\nDevelop, maintain, and optimize Tableau dashboards for business stakeholders\nMonitor key metrics in both B2B and B2C. Understand the nuances of each domain and create ADS that cater to the business requirements.\nComplete ownership of the assigned tasks, from gathering requirements to building robust and scalable solutions, driving consumption, and generating business insights.\n\nWed Like You to Have:\nBachelor’s degree from a tier I institute with strong problem-solving skills.\n2-4 years of experience in analytics at a fast-paced product organization.\nShould be proficient in working on relational databases with SQL.\nExtensive hand-on experience of data visualization to create insightful dashboards using Tableau.\nShould have worked on aggregating data from multiple data sources and data wrangling using R/Python.\nExcellent written and verbal communication skills\n\nBehavioral attributes:\n- We are looking for hustlers in the Analytics team who know how to get the job done.\n- If you have the ability to hunt for simplification in complexity, we would love to talk to you.\n- If you have an entrepreneurial spirit and you know how to take complete ownership of your work, we would be interested in you.",Industry Type: Education / Training,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Power Bi', 'Tableau', 'Python', 'SQL', 'Business Analytics', 'Data Visualization', 'Data Analytics']",2025-07-01 04:56:10
Data Analyst,Sprinklr,0 - 3 years,Not Disclosed,['Bengaluru'],"The Marketing Analytics team provides the data, measurement, insights and actionability across Marketing & SDR Groups. We solve a multitude of exciting challenges from acquisition to retention, as we'll as media mix modeling, marketing attribution and experimentation for Marketing teams . We are also responsible for Headcount planning, Capacity, Ramp, Comp Payout and SDR analytics. We are looking for a highly self-driven individual contributor for building our world-class marketing analytics capabilities.\nIn this role, we're looking for a strategic thinker who can tackle ambiguous problems, bring definition and clarity to data and measurement for our global marketing activities. You have an analytical mindset and the ability to empathize with the customer. You have exceptional written, visual and verbal communication skills , and the ability to manage complex stakeholder environments.\n  What you'll Do\nYou create reports using data and generate insights to drive all teams to work cohesively, optimizing each to maximize Marketing ROI.\nDefine KPI s and report on SDR Productivity & Performance\nCollaborate with cross-functional team members to come up with actionable, high- impact insights across product lines and functions.\nYou drive solutions with the Operations, Tools, Insights, and Enablement teams to optimize the company s ability to generate more revenue.\nDevelop and implement regular reporting of key performance metrics including forecasting, full funnel analysis and pipeline management.\nCommunicating findings to stakeholders and taking initiatives for improving business performance.\nEnsure that data and analysis is presented in a format that is appropriate for a varied audience using data visualization, dashboards, or other methods.\nUtilize strong database skills to work with large, complex data sets to extract insights.\nFilter and cleanse unstructured (or ambiguous) data into usable data sets that can be analyzed to extract insights and improve business processes\nUsing advanced analytics and metrics to improve processes and provide data-driven forecasts of potential costs, revenues, and risks of business initiatives.\nWhat we're Looking For\n5+ years of relevant experience in analytics, consulting, or related quantitative role;\nExperience of working in hyper-growth and large tech companies (SaaS experience is preferable) .\nKnowledge of and experience in SDR/Sales/Revenue Analytics, measurement , attribution is an essential skillset.\nA passion for helping organizations understand how to solve problems through analytics.\nAbility to manage simultaneous tasks in a fast-paced, technology-oriented environment.\nFamiliarity with database technologies and tools (SQL/R/SAS/JMP etc), data transformation and processing.\nExperience with any visualization tools such as Tableau, Spotfire, Power BI, Sisense, etc PowerBI experience is preferred.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Global marketing', 'SAS', 'Analytical', 'Consulting', 'data visualization', 'microsoft', 'Forecasting', 'Enterprise software', 'Analytics', 'SQL']",2025-07-01 04:56:13
Data Analyst,Capgemini,2 - 5 years,Not Disclosed,['Noida'],"\nData analysts import, inspect, clean, transform, validate, model, or interpret collections of data with regard to the business goals of the company. They ensure that the data sources and repositories provide consistent and reliable data. Data analysts use different algorithms and IT tools as demanded by the situation and the current data. They might prepare reports in the form of visualizations such as graphs, charts, and dashboards.\n\n - Grade Specific \nThe roles plays a critical role in leveraging data analysis to provide insights and recommendations to the stakeholders. Technical skills combined with consulting skills to support decision-making, drive business growth, and deliver value through data-driven insights.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['algorithms', 'charts', 'data analysis', 'data validation', 'dashboards', 'hlookup', 'macros', 'python', 'data analytics', 'data mining', 'pivot table', 'power bi', 'business analysis', 'vlookup', 'machine learning', 'business intelligence', 'sql', 'tableau', 'vba', 'advanced excel', 'data visualization']",2025-07-01 04:56:15
Data Analyst,Capco,0 - 1 years,Not Disclosed,"['Pune', 'Bengaluru']","Job Title: Junior Data Analytics\n\nAbout Us\nCapco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar & Seramount. With our presence across 32 cities across globe, we support 100+ clients across banking, financial and Energy sectors. We are recognized for our deep transformation execution and delivery.\nWHY JOIN CAPCO?\nYou will work on engaging projects with the largest international and local banks, insurance companies, payment service providers and other key players in the industry. The projects that will transform the financial services industry.\nMAKE AN IMPACT\nInnovative thinking, delivery excellence and thought leadership to help our clients transform their business. Together with our clients and industry partners, we deliver disruptive work that is changing energy and financial services.\n#BEYOURSELFATWORK\nCapco has a tolerant, open culture that values diversity, inclusivity, and creativity.\nCAREER ADVANCEMENT\nWith no forced hierarchy at Capco, everyone has the opportunity to grow as we grow, taking their career into their own hands.\nDIVERSITY & INCLUSION\nWe believe that diversity of people and perspective gives us a competitive advantage.\nMAKE AN IMPACT\nJob Description Role Data Analyst\n\nRequirements:\nResponsibilities:\nDefine and obtain source data required to successfully deliver insights and use cases.\nDetermine the data mapping required to join multiple data sets together across multiple sources\nCreate methods to highlight and report data inconsistencies, allowing users to review and provide feedback on\nPropose suitable data migration sets to the relevant stakeholders\nAssist teams with processing the data migration sets as required\nAssist with the planning, tracking and coordination of the data migration team and with the migration run-book and the scope for each customer\n\nRole Requirements:\nStrong Data Analyst with Financial Services experience.\nKnowledge of and experience using data models and data dictionaries in a Banking and Financial Markets context\nKnowledge of one or more of the following domains (including market data vendors):\nParty/Client\nTrade\nSettlements\nPayments\nInstrument and pricing\nMarket and/or Credit Risk\nDemonstrate a continual desire to implement “strategic” or “optimal” solutions and where possible, avoid workarounds or short term tactical solutions.\nWorking with stakeholders to ensure that negative customer and business impacts are avoided\nManage stakeholder expectations and ensure that robust communication and escalation mechanisms are in place across the project portfolio\nGood understanding of the control requirement surrounding data handling\nExperience/Skillset\nMust Have:\nExcellent analytical skills and commercial acumen.\nGood understanding of the control requirements surrounding data handling\nExperience of big data programmes preferable\nStrong verbal and written communication skills\nStrong self-starter with strong change delivery skills who enjoys the challenge of delivering change within tight deadlines\nAbility to manage multiple priorities\nBusiness analysis skills, defining and understanding requirements\nKnowledge of and experience using data models and data dictionaries in a Banking and Financial Markets context\nCan write SQL queries and navigate data bases especially Hive, CMD, Putty, Note++\nEnthusiastic and energetic problem solver to join an ambitious team\nGood knowledge of SDLC and formal Agile processes, a bias towards TDD and a willingness to test products as part of the delivery cycle\nAbility to communicate effectively in a multi-programme environment across a range of stakeholders\nAttention to detail\nGood to have:\nPreferable knowledge and experience in Data Quality & Governance\nFor Spark Scala - should have working experience using scala (preferable) or java for spark\nFor Senior DAs: proven track record of managing small delivery-focussed data teams",Industry Type: IT Services & Consulting,"Department: BFSI, Investments & Trading","Employment Type: Full Time, Permanent","['data analytics', 'pyspark', 'Python', 'SQL']",2025-07-01 04:56:17
"Data Analyst, Reimbursement, IN Seller Reimbursements",Amazon,0 - 7 years,Not Disclosed,['Bengaluru'],"Amazon is looking for a talented, driven Data Analyst It is a pivotal role that will contribute to the evolution and success of one of the fastest growing businesses in the company.\nAmazon.ins Fulfilment by Amazon (FBA) & Reimbursement team is seeking for a talented, self-driven driven Data Analyst.This pivotal role provides you opportunity to work with an exceptionally innovative team, slice and dice multi-dimensional high depth data mines, build complex data models to provide data driven insights for high impact decisions spanning across Merchant and Customer experience improvement Product/Program initiatives.\n\nWorking in a dynamic environment, you will be responsible for monitoring key success metrics for sellers, identifying problem areas and business challenges and collaboratively shaping solutions with category and business teams to help sellers grow and optimize on the Amazon platform. The successful candidate has a passion for extracting actionable insights from data. He/she rolls up his/her sleeves, innovates, and quickly becomes a subject matter expert to assess business performance across sellers and market segments. He/she has significant experience working with customers, analyzing data, identifying trends, extracting conclusions, and presenting findings in a simple and clear manner. He/she enjoys problem solving and is proficient using Excel and other tools to analyze large data sets.\n\n\nUnderstand Amazon seller Services products and services and track/report business performance and problem areas using appropriate metrics.\nWork cross functionally with the account management team to fix problems with sellers\nUse Amazon s tools to problem solve and validate solutions\nPartner to define goals around key operational metrics\nRecommend business actions based on analytical findings. Includes defining new metrics, techniques, and strategies to improve seller performance 1+ years of data analytics or automation experience\n1+ years of capacity planning, operations planning, business analysis or similar experience\nBachelors degree\nKnowledge of data pipelining and extraction using SQL\nKnowledge of SQL and Excel at a moderate or advanced level\nExperience with data mining tools like SQL, SAS, SPSS, or similar Knowledge of SQL/Python/R, scripting, MS Excel, table joins, and aggregate analytical functions",,,,"['Automation', 'SAS', 'Business analysis', 'Analytical', 'Account management', 'SPSS', 'Data mining', 'Monitoring', 'SQL', 'Capacity planning']",2025-07-01 04:56:19
Data Analyst (Contractual),Aditya Birla Management Corporation (ABMCPL),3 - 5 years,Not Disclosed,['Mumbai (All Areas)'],"We at Novel jewels Aditya Birla Jewelry - Indriya Invite Applications for an opportunity we have with us:\n\nfor: Power BI Developer (Contractual)\n\n""People strictly from Jewelry background OR Retail only Must Apply:""\n\nOrganization:\nNovel Jewels, an Aditya Birla Group company, is into premium jewelry segment.\nThe Aditya Birla Group, a global conglomerate in the Fortune 500, operates across diverse sectors such as metals, telecom, financial services, and renewable energy, with over 140,000 employees worldwide. Over 50% of its revenue comes from international operations across 36 countries. With a history of responsible business practices, the Group aims to expand its footprint in India's jewellery market, which contributes significantly to the country's GDP and exports. Given the industry's predominance of small, family-owned businesses, the Group sees potential for developing large-scale jewellery retail brands. The venture will leverage the Group's expertise in luxury retail, operational capabilities, and trust, with plans to diversify the offering once a viable business model is established.\n\nThe business has successfully launched 24 stores by May 2025 under the brand name Indriya with plans to ramp up multiple folds in coming year. The initial customer response has been very encouraging.\n\nNumber of Opening: Multiple\nLocation: Mumbai - Mumbai\nRole - Power BI Developer\n\nJob Title: Power BI Developer (with strong SQL expertise)\n\nWe are looking for an experienced Power BI Developer with strong SQL skills and a background in the retail or jewellery industry. The ideal candidate will have a deep understanding of retail business processes, including inventory, sales, customer behaviour, and supply chain data. This role involves developing and managing insightful dashboards and reports that support strategic decision-making across departments.\nKey Responsibilities:\nDesign, develop, and maintain Power BI dashboards and reports that deliver actionable insights across retail and jewellery operations.\nWrite efficient SQL queries to extract, clean, and analyse data from various retail systems and Database.\nWork closely with business stakeholders (e.g., sales, merchandising, operations, finance) to gather requirements and translate them into clear, visual analytics.\nCreate data models that reflect retail-specific KPIs such as sales performance, product trends, customer segmentation, stock levels, and profitability.\nOptimize Power BI solutions and SQL queries for performance and usability.\nSupport and enhance existing reporting infrastructure, ensuring accuracy and timeliness of retail analytics.\nMonitor and validate data quality, providing insights to reduce operational inefficiencies.\nImplement row-level security and access control for sensitive retail data.\nStay current with industry trends, tools, and best practices in BI, retail analytics, and reporting.\nRequired Skills and Qualifications:\n4+ years of experience in Power BI development and SQL programming.\nStrong background in the retail or jewelry industry with an understanding of key business metrics and processes.\nProficient in DAX, Power Query (M), and data modeling techniques.\nExperience working with databases such as SQL Server, Oracle, or MySQL.\nKnowledge of data structures from ERP, POS, and inventory management systems (e.g., Microsoft Dynamics, SAP, Shopify, Lightspeed, etc.).\nExcellent problem-solving skills and attention to detail.\nStrong communication skills and the ability to work cross-functionally.\nPreferred Qualifications:\nMicrosoft certifications (e.g., PL-300: Power BI Data Analyst) are a plus.\nKnowledge of Azure cloud platform is plus.\n""Interested candidates may apply by emailing TA.NJL@adityabirla.com. Please ensure the subject line clearly states the role you're applying for, to help us process your application efficiently.\n\nThanks.\nTA Team",Industry Type: Retail,Department: IT & Information Security,"Employment Type: Full Time, Temporary/Contractual","['Power Bi', 'M Scripting', 'Data Analysis', 'Data Visualization', 'Dax', 'Dashboards', 'Data Modeling', 'Data Analytics', 'ETL', 'Power Query', 'SQL']",2025-07-01 04:56:22
"Data Analyst, EMSX",Amazon,0 - 7 years,Not Disclosed,['Bengaluru'],"Amazon Emerging Stores SX team owns self-serve process of listings in our stores. We are looking for a hands-on, detail oriented and highly motivated data analyst to help create data backed insights.The candidate should be comfortable interfacing with technology systems and be able to analyze data and gather actionable conclusions. Operating in a rapidly changing environment will require the candidate to be adept at dealing with ambiguous, new and challenging situations. Role and Responsibilities: Enable effective decision making by retrieving and aggregating data from multiple sources and compiling it into a digestible and actionable format Put on your business thinking cap to drive insights and action we can take to improve the business Measure the metrics of our business and propose/implement projects to improve these metrics. Ensure KPIs are published and reviewed on a daily, weekly, monthly basis and perform analysis on any behaviours / processes that could impact on data integrity.\n\n\nJob summary\nData Analyst/Business Analyst\nStrong SQL Knowledge and Hands-on experience in excel\n\n\n\nOwn & manage onboard, access & data management process for Premium Seller partners\nWork closely with Program/Product/Business managers and internal/external stakeholders to understand business requirements and work on solutions with data and insights support\nOwn the design, development, and maintenance of ongoing metrics, reports, analyses, dashboards, etc. Skills Required:\nStrong SQL Knowledge and Hands-on experience.\nHighly proficient in Microsoft Office and Windows based applications.\nDemonstrated Analytical ability, results-oriented environment with external customer interaction.\nExcellent written and verbal communication and presentation skills and the ability to express thoughts logically and succinctly.\nPreferred:\nMinimum 2+ years of experience as an Analyst role preferred\nProficiency with visualization tools like Tableau\nUnderstanding of data warehousing, data modeling concept and building new DW tables\nAdvanced SQL skills, fluent in R and/or Python, advanced Microsoft Office skills, particularly Excel and analytical platforms 1+ years of data analytics or automation experience\n1+ years of capacity planning, operations planning, business analysis or similar experience\nBachelors degree\nKnowledge of data pipelining and extraction using SQL\nKnowledge of SQL and Excel at a moderate or advanced level\nExperience with data mining tools like SQL, SAS, SPSS, or similar 2+ years of data analytics or automation experience",,,,"['Automation', 'SAS', 'Data management', 'Data modeling', 'Business analysis', 'Windows', 'SPSS', 'Data mining', 'SQL', 'Python']",2025-07-01 04:56:24
Data Analyst - L4,Wipro,5 - 8 years,Not Disclosed,['Hyderabad'],"\n\n Voice/ Non-VoiceVoice  \n\n ShiftAs per business requirement  \n\n Qualification Graduate  \n\n Experience 5 Years to 7 Years  \n\n Experience BreakupNon BPO  \n\n Essential Hiring\n\nSkills:\nSQL, Advance SQL, Visualization Tools (Looker, PLX, etc.,) , Excel / Spreasheet , Presentations  \n\n Good to have Hiring\n\nSkills:\nGood to have Google Tools knowledge  \n\n Responsibilities \n\n 1) Querying and ScriptingWriting (Simple and Advance) and modifying SQL scripts to extract, manipulate, and analyze data.\n2) Dashboard Creation and MaintenanceBuilding and updating dashboards to visualize data, ensure data accuracy, and make necessary adjustments.\n3) Data Validation and Quality Control (QC)Verifying data accuracy, identifying mismatches between sources, and performing QC checks.\n4) Data Analysis and InterpretationAnalyzing data to identify trends, discrepancies, and insights, and providing explanations for observations.\n5) Reporting and DocumentationCommunicating findings, updates, and challenges through documents and reports.\n6) Collaboration and CommunicationWorking with other team members, including business analysts (BAs), engineers, and operations teams, to understand requirements, provide updates, and address issues  \n\n LanguagesEnglish, Hindi  \n\n Language Proficiency LevelEnglish - Proficient  \n\n Location Hyderabad  \n\n Work Mode Work from Office.  \nMandatory\n\nSkills:\nGeographic Info. Systems(Car support).\n\nExperience5-8 Years.",Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['advance sql', 'data analysis', 'presentation skills', 'dashboards', 'sql', 'python', 'data analytics', 'data validation', 'sas', 'dashboard development', 'business analysis', 'pivot table', 'vlookup', 'machine learning', 'tableau', 'data science', 'advanced excel', 'data visualization', 'statistics']",2025-07-01 04:56:27
