title,company,experience,salary,locations,description,industry,employment_type,skills,scraped_at
Python Machine learning Engineer,Infosys Limited,4-6 Years,,"Bengaluru, India",Job Description:\nWe are looking for smart self driven high energy people with top notch communication skills intellectual curiosity and passion for technology in Machine Learning Space\nOur analysts have a blend of in depth domain expertise in one or more areas Financial Services strong business acumen and excellent soft skills Exposure to Technology\nKey Responsibilities:\nTechnical knowledge has expertise in cloud technologies specifically MS Azure and services with hands on coding to\nPython Programming Expert and Experienced 4 5 years\nDevOps Working knowledge with implementation experience 1 or 2 projects a minimum\nHands On MS Azure Cloud knowledge\nUnderstand and take requirements on Operationalization of ML Models from Data Scientist\nHelp team with ML Pipelines from creation to execution\nList Azure services required for deployment Azure Data bricks and Azure DevOps Setup\nAssist team to coding standards flake8 etc\nGuide team to debug on issues with pipeline failures\nEngage with Business Stakeholders with status update on progress of development and issue fix\nAutomation Technology and Process Improvement for the deployed projects\nSetup Standards related to Coding Pipelines and Documentation\nAdhere to KPI SLA for Pipeline Run Execution\nResearch on new topics services and enhancements in Cloud Technologies\nAdditional Responsibilities:\nMaster s degree in Computer Science Engineering with Relevant experience in the field of MLOps Cloud\nDomain experience in Capital Markets Banking Risk and Compliance etc\nExposure to US overseas markets is preferred\nAzure Certified DP100 AZ AI900\nDomain Technical Tools Knowledge\nObject oriented programming coding standards architecture design patterns Config management Package Management Logging documentation\nExperience in Test Driven Development and experience in using Pytest frameworks git version control Rest APIs\nAzure ML best practices in environment management run time configurations Azure ML Databricks clusters alerts\nExperience designing and implementing ML Systems pipelines MLOps practices\nExposure to event driven orchestration Online Model deployment\nContribute towards establishing best practices in MLOps Systems development\nProficiency with data analysis tools e\ng\nSQL R Python\nHigh level understanding of database concepts reporting Data Science concepts\nHands on experience in working with client IT Business teams in gathering business requirement and converting into requirement for development team\nExperience in managing client relationship and developing business cases for opportunities\nAzure AZ 900 Certification with Azure Architecture understanding is a plus\nPreferred Skills:\nTechnology->Machine Learning->Python,IT/Computers - Software,Permanent Job,"R, Azure Data Bricks, Sql, Git, Ms Azure, Python Programming, Rest Apis, Pytest, Devops, Test Driven Development, Azure DevOps, Azure ML",2025-07-03 14:51:36
Machine Learning Engineer,Soul Ai,2-5 Years,,Kolkata,"Responsibilities:\nDesign, optimize, and deploy machine learning models; implement feature engineering and scaling pipelines.\nUse deep learning frameworks such as TensorFlow and PyTorch; manage models in production using Docker and Kubernetes.\nAutomate workflows, ensure model versioning, logging, real-time monitoring, and compliance with security regulations.\nWork with large-scale data, develop feature stores, and implement CI/CD pipelines for model retraining and tracking.\nRequired Skills:\nProficiency in machine learning, deep learning, and data engineering (e.g., Spark, Kafka).\nExpertise in MLOps and automation tools (e.g., Docker, Kubernetes, Kubeflow, MLflow, TFX).\nStrong knowledge of model deployment, monitoring, security, compliance, and responsible AI practices.\nNice to Have:\nExperience with A/B testing, Bayesian optimization, and hyperparameter tuning.\nFamiliarity with multi-cloud ML deployments and generative AI (e.g., LLM fine-tuning, FAISS).",Information Technology,Permanent Job,"Machine Learning Engineering, Machine Learning, Deep Learning, MLops, Docker, Kubernetes, Tensorflow",2025-07-03 14:51:41
Machine Learning Engineer,Soul Ai,2-5 Years,,Kolkata,"Responsibilities:\nDesign, optimize, and deploy machine learning models; implement feature engineering and scaling pipelines.\nUse deep learning frameworks such as TensorFlow and PyTorch; manage models in production using Docker and Kubernetes.\nAutomate workflows, ensure model versioning, logging, real-time monitoring, and compliance with security regulations.\nWork with large-scale data, develop feature stores, and implement CI/CD pipelines for model retraining and tracking.\nRequired Skills:\nProficiency in machine learning, deep learning, and data engineering (e.g., Spark, Kafka).\nExpertise in MLOps and automation tools (e.g., Docker, Kubernetes, Kubeflow, MLflow, TFX).\nStrong knowledge of model deployment, monitoring, security, compliance, and responsible AI practices.\nNice to Have:\nExperience with A/B testing, Bayesian optimization, and hyperparameter tuning.\nFamiliarity with multi-cloud ML deployments and generative AI (e.g., LLM fine-tuning, FAISS).",Information Technology,Permanent Job,"Machine Learning Engineering, Machine Learning, Deep Learning, MLops, Docker, Kubernetes, Tensorflow",2025-07-03 14:51:42
Machine Learning Engineer (Freelancer),Soul Ai,2-5 Years,,Hyderabad,"We are looking for top-tier Machine Learning Engineers with proven expertise in building, deploying, and optimizing AI models. If you're passionate about AI innovation and ready to collaborate with leading experts, this is your opportunity to join an elite professional community and solve complex real-world challenges.\nResponsibilities\nDesign, optimize, and deploy machine learning models for production environments\nImplement scalable feature engineering workflows and data pipelines\nUse deep learning frameworks such as TensorFlow and PyTorch\nManage models in production with Docker, Kubernetes, and similar tools\nAutomate ML workflows and ensure robust versioning, logging, and real-time monitoring\nComply with model governance, security, and regulatory best practices\nWork with large-scale datasets and develop reusable feature stores\nBuild and maintain CI/CD pipelines for model retraining and performance evaluation\nRequired Skills\nProficiency in machine learning, deep learning, and data engineering frameworks (e.g., Spark, Kafka)\nHands-on experience with MLOps, including tools like Docker, Kubernetes, Kubeflow, MLflow, and TFX\nExpertise with major cloud platforms (AWS, GCP, Azure)\nIn-depth understanding of model deployment, monitoring, security, compliance, and responsible AI\nPreferred Skills\nExperience with A/B testing, Bayesian optimization, and hyperparameter tuning\nFamiliarity with generative AI workflows, such as LLM fine-tuning, FAISS, and vector databases\nExposure to multi-cloud ML infrastructure setups\nWhy Join Us\nPay above market standards\nFlexible contract-based or freelance engagements\nWork remotely, onsite with clients, or from Deccan AI offices in Hyderabad/Bangalore\nCollaborate with elite professionals on cutting-edge AI initiatives",Software,Permanent Job,"deploying models, Machine Learning, data engineering, Deep Learning, Automation Tools",2025-07-03 14:51:44
Senior Machine Learning Engineer,Maimsd Technology,4-7 Years,,"Bengaluru, Pune","Maimsd Technology is seeking a highly skilled and innovative Senior Machine Learning Engineer to join our team. This role is crucial for contributing to cutting-edge projects by leveraging expertise in machine learning, natural language processing, and data engineering. The Senior ML Engineer will be responsible for designing, developing, and deploying advanced ML models, particularly focusing on NLP tasks, to deliver innovative solutions that drive significant business value.\nKey Responsibilities:\nMachine Learning Model Development:\nDesign, develop, and deploy advanced machine learning models.\nSpecialize in natural language processing (NLP) tasks such as text classification, sentiment analysis, and language generation.\nData Engineering:\nPerform Extract, Transform, and Load (ETL) operations to process data from various sources.\nEnsure high data quality and consistency throughout the data pipeline.\nNLP Techniques:\nApply state-of-the-art NLP techniques, including advanced language models and robust text processing methodologies, to solve complex business problems.\nPython and ML Frameworks:\nUtilize Python programming language extensively for development.\nWork proficiently with popular Machine Learning frameworks such as PyTorch or TensorFlow to build efficient and scalable models.\nCloud and Containerization:\nLeverage leading cloud platforms (GCP, AWS) for model deployment and management.\nUtilize containerization technologies (Docker) for efficient deployment and management of ML models.\nDatabase Management:\nWork with relational databases (Postgres, MySQL) to store, manage, and query large datasets effectively.\nKnowledge Graphs and ML Publications:\nContribute to the development and enhancement of knowledge graphs.\nStay updated with the latest advancements in the field of machine learning and data science through continuous research and engagement with publications.\nQualifications:\nExperience:\n4-7 years of hands-on experience in data science, with a strong and proven focus on machine learning and natural language processing.\nTechnical Skills:\nProficiency in Python programming language.\nDeep understanding of machine learning algorithms and techniques.\nExpertise in NLP, including various language models and text processing methods.\nFamiliarity with prominent ML frameworks like PyTorch or TensorFlow.\nExperience with cloud platforms (GCP, AWS) and containerization (Docker).\nKnowledge of relational databases (Postgres, MySQL).\nSoft Skills:\nStrong problem-solving and analytical skills.\nExcellent communication and collaboration abilities.\nAbility to work both independently and effectively as part of a team.\nBenefits:\nCompetitive salary and comprehensive benefits package.\nSignificant opportunities for professional growth and development within a cutting-edge field.\nA collaborative and supportive work environment that fosters innovation.",Information Technology,Permanent Job,"cloud platforms, cloud platforms, Machine Learning, Natural Language Processing, Python, Nlp, Docker, Machine Learning, Natural Language Processing, Python, Nlp, Docker",2025-07-03 14:51:45
Senior Machine Learning Engineer - NLP/Python,Maimsd Technology,4-7 Years,,Bengaluru,"Senior Machine Learning Engineer - NLP/Python\nWe are seeking a highly skilled Senior Machine Learning Engineer to join our team and contribute to cutting-edge projects. As a key member of our data science team, you will leverage your expertise in machine learning, natural language processing, and data engineering to develop innovative solutions that drive business value.\nKey Responsibilities\nMachine learning model development is a primary responsibility, involving the design, development, and deployment of advanced machine learning models, with a focus on natural language processing tasks such as text classification, sentiment analysis, and language generation.\nData engineering skills will be applied to extract, transform, and load (ETL) data from various sources, ensuring data quality and consistency.\nNLP techniques will be applied, including state-of-the-art language models and text processing, to solve complex problems.\nPython programming language and popular ML frameworks like PyTorch or TensorFlow will be utilized to build efficient and scalable models.\nCloud platforms (GCP, AWS) and containerization technologies (Docker) will be leveraged for efficient deployment and management of ML models.\nRelational databases (Postgres, MySQL) will be used to store, manage, and query large datasets.\nKnowledge graph development will be contributed to, and the latest advancements in the field will be kept updated through research and publications.\nTechnical Skill Requirements\nProficiency in Python programming language is mandatory.\nDeep understanding of machine learning algorithms and techniques is essential.\nExpertise in NLP, including language models and text processing, is required.\nFamiliarity with ML frameworks like PyTorch or TensorFlow is necessary.\nExperience with cloud platforms (GCP, AWS) and containerization (Docker) is a must.\nKnowledge of relational databases (Postgres, MySQL) is required.\nGeneral Requirements\nEmployment Type: This is a Full-Time, Permanent position.\nNotice Period: Immediate - 15 Days.\nStrong problem-solving and analytical skills are essential.\nExcellent communication and collaboration abilities are vital.\nAbility to work independently and as part of a team is expected.",Information Technology,Permanent Job,"cloud platforms, containerization, Relational Databases, Python Programming, Machine Learning, Nlp",2025-07-03 14:51:47
Machine Learning Engineer (Freelancer),Soul Ai,2-5 Years,,Mumbai,"Deccan AI is building an exclusive community of top-tier Machine Learning Engineers who excel at building, deploying, and optimizing AI models. If you have proven experience in this cutting-edge field, this is your chance to collaborate with industry leaders and tackle some of the most complex AI challenges.\nWhat's in it for you\nAbove-market pay for your expertise.\nFlexible work arrangements: This role is contract-based with project timelines ranging from 2-6 months, or you can work as a freelancer.\nBecome part of an elite community of professionals dedicated to solving advanced AI problems.\nWork location flexibility:\nRemote (most likely)\nOnsite at a client's location\nDeccan AI's office in Hyderabad or Bangalore\nResponsibilities:\nDesign, optimize, and deploy machine learning models.\nImplement robust feature engineering and scaling pipelines.\nUtilize deep learning frameworks such as TensorFlow and PyTorch.\nEffectively manage models in production using tools like Docker and Kubernetes.\nAutomate workflows, ensuring efficient model versioning, logging, and real-time monitoring.\nMaintain strict compliance with security protocols and regulations.\nWork with large-scale data, develop sophisticated feature stores, and implement CI/CD pipelines for continuous model retraining and performance tracking.\nRequired Skills:\nProficiency in machine learning, deep learning, and data engineering (e.g., Spark, Kafka).\nExpertise in MLOps principles and automation tools like Docker, Kubernetes, Kubeflow, MLflow, and TFX.\nStrong command of cloud platforms (AWS, GCP, Azure).\nIn-depth knowledge of model deployment, monitoring, security, and compliance.\nCommitment to and understanding of responsible AI practices.\nNice to Have:\nExperience with A/B testing, Bayesian optimization, and hyperparameter tuning.\nFamiliarity with multi-cloud ML deployments.\nUnderstanding of generative AI technologies (e.g., LLM fine-tuning, FAISS).",Software,Permanent Job,"Deploying Models, Machine Learning, data engineering, Deep Learning, Automation Tools, Kubernetes",2025-07-03 14:51:49
Senior Machine Learning Engineer - NLP/Python,Maimsd Technology,4-7 Years,,Pune,"Senior Machine Learning Engineer - NLP/Python\nWe are seeking a highly skilled Senior Machine Learning Engineer to join our team and contribute to cutting-edge projects. As a key member of our data science team, you will leverage your expertise in machine learning, natural language processing, and data engineering to develop innovative solutions that drive business value.\nKey Responsibilities\nMachine learning model development is a primary responsibility, involving the design, development, and deployment of advanced machine learning models, with a focus on natural language processing tasks such as text classification, sentiment analysis, and language generation.\nData engineering skills will be applied to extract, transform, and load (ETL) data from various sources, ensuring data quality and consistency.\nNLP techniques will be applied, including state-of-the-art language models and text processing, to solve complex problems.\nPython programming language and popular ML frameworks like PyTorch or TensorFlow will be utilized to build efficient and scalable models.\nCloud platforms (GCP, AWS) and containerization technologies (Docker) will be leveraged for efficient deployment and management of ML models.\nRelational databases (Postgres, MySQL) will be used to store, manage, and query large datasets.\nKnowledge graph development will be contributed to, and the latest advancements in the field will be kept updated through research and publications.\nTechnical Skill Requirements\nProficiency in Python programming language is mandatory.\nDeep understanding of machine learning algorithms and techniques is essential.\nExpertise in NLP, including language models and text processing, is required.\nFamiliarity with ML frameworks like PyTorch or TensorFlow is necessary.\nExperience with cloud platforms (GCP, AWS) and containerization (Docker) is a must.\nKnowledge of relational databases (Postgres, MySQL) is required.\nGeneral Requirements\nEmployment Type: This is a Full-Time, Permanent position.\nNotice Period: Immediate - 15 Days.\nStrong problem-solving and analytical skills are essential.\nExcellent communication and collaboration abilities are vital.\nAbility to work independently and as part of a team is expected.",Information Technology,Permanent Job,"cloud platforms, containerization, Relational Databases, Python Programming, Machine Learning, Nlp",2025-07-03 14:51:50
Machine Learning Engineer,Robotics Technologies,3-9 Years,INR 19.5 - 35.5 LPA,"Ahmedabad, Bengaluru, Chennai","Description\nWe are seeking a skilled Machine Learning Engineer to join our dynamic team in India. The ideal candidate will have 3-9 years of experience in designing and implementing machine learning solutions that drive business outcomes.\nResponsibilities\nDevelop and implement machine learning models and algorithms to solve complex business problems.\nCollaborate with cross-functional teams to define and prioritize machine learning projects.\nAnalyze and preprocess data to enhance model performance.\nEvaluate and optimize existing machine learning models for improved accuracy and efficiency.\nStay up-to-date with the latest research and trends in machine learning and AI.\nSkills and Qualifications\nBachelor's or Master's degree in Computer Science, Data Science, or a related field.\nProficiency in programming languages such as Python, R, or Java.\nExperience with machine learning frameworks like TensorFlow, Keras, or PyTorch.\nStrong understanding of statistics and data analysis techniques.\nFamiliarity with data manipulation tools such as Pandas and NumPy.\nKnowledge of SQL and database management systems.\nExperience with cloud platforms (AWS, Google Cloud, Azure) is a plus.\nExcellent problem-solving skills and attention to detail.","Technical Support, Management Information Systems, Penetration Testing, GovTech, Video Conferencing",Permanent Job,"Scikit-learn, Data Processing, Model Deployment, Feature Engineering, Python, Tensorflow, Sql, Cloud Computing, Apis, Version Control",2025-07-03 14:51:52
Machine Learning Engineer,Dayworks Private Limited,0-3 Years,,Bengaluru,"This role is for one of Weekday's clients\nMin Experience: 0 years\nLocation: Bengaluru\nJobType: full-time\nAbout the Role:\nWe are seeking a motivated and passionate Machine Learning Engineer to join our growing AI/ML team. This is an excellent opportunity for recent graduates or early-career professionals to work on real-world applications of Machine Learning (ML), Artificial Intelligence (AI), and Natural Language Processing (NLP) technologies. You'll be part of a team that builds intelligent systems to solve complex problems and deliver value to our customers across domains.\nIf you're a self-starter who's eager to apply theoretical knowledge into practice, experiment with state-of-the-art tools like TensorFlow, and work collaboratively on challenging problems in NLP and AI, this role is for you.\nKey Responsibilities:\nAssist in the development, training, and evaluation of machine learning models using Python and libraries such as TensorFlow and Scikit-learn.\nSupport data collection, preprocessing, and transformation tasks to build robust ML pipelines.\nCollaborate with data scientists, software engineers, and product teams to understand problem requirements and deliver ML-based solutions.\nWork on natural language processing tasks such as text classification, sentiment analysis, named entity recognition, and language modeling.\nImplement ML models into production environments and monitor model performance.\nConduct research and stay updated with the latest developments in AI/ML and NLP.\nOptimize and tune models for accuracy, speed, and scalability.\nPrepare documentation, reports, and presentations to communicate results and findings to stakeholders.\nRequired Skills:\nBasic understanding of machine learning concepts such as supervised/unsupervised learning, classification, regression, and clustering.\nFamiliarity with Python programming and common ML libraries like TensorFlow, Keras, Scikit-learn, and Pandas.\nExposure to natural language processing (NLP) tasks and basic algorithms.\nUnderstanding of data preprocessing, feature engineering, and model evaluation techniques.\nEnthusiasm to learn and work with deep learning models and frameworks.\nStrong analytical thinking and problem-solving skills.\nGood communication skills and the ability to work in a collaborative environment.\nNice to Have:\nInternship or project experience in ML, AI, or NLP.\nKnowledge of neural networks, RNNs, CNNs, or transformer models like BERT or GPT.\nExperience working with large datasets or on cloud platforms such as AWS, GCP, or Azure.\nUnderstanding of version control (Git) and deployment tools (Docker, MLflow, etc.).\nParticipation in ML competitions (e.g., Kaggle) or open-source contributions.\nEducational Qualification:\nBachelor's or Master's degree in Computer Science, Data Science, Artificial Intelligence, Statistics, or a related field.",Login to check your skill match score,Permanent Job,"Machine Learning, Artificial Intelligence, Nlp, Tensorflow",2025-07-03 14:51:53
