title,company,experience,salary,location,description,industry,skills,scraped_at
Data Analyst,Virtusa,5-8 Years,,Pune,"Minimum 6 years of experience as DataAnalyst with at least 3+ Years experience in Data Migration initiatives.\nExperience in Migrating COTS/legacy systems including large volumes of data without compromising its accuracy and completeness\nTechnical expertise regarding data models, database design development, data mining and segmentation techniques\nExperience with ETL development both on premises and in the cloud\nStrong functional understanding of RDBMS DWH-BI conceptual knowledge",Information Technology,"['COTS', 'Data Modelling', 'Rdbms Concepts', 'Dwh', 'BI']",2025-06-12 15:19:22
Data Analyst,Virtusa,5-7 Years,,"Hyderabad, Pune","Minimum 6 years of experience as DataAnalyst with at least 3+ Years experience in Data Migration initiatives.\nExperience in Migrating COTS/legacy systems including large volumes of data without compromising its accuracy and completeness\nTechnical expertise regarding data models, database design development, data mining and segmentation techniques\nExperience with ETL development both on premises and in the cloud\nStrong functional understanding of RDBMS DWH-BI conceptual knowledge",Information Technology,"['COTS', 'Data Modelling', 'Rdbms Concepts', 'Dwh', 'BI']",2025-06-12 15:19:24
Data Analyst,Virtusa,5-7 Years,,"Hyderabad, Pune","Minimum 6 years of experience as DataAnalyst with at least 3+ Years experience in Data Migration initiatives.\nExperience in Migrating COTS/legacy systems including large volumes of data without compromising its accuracy and completeness\nTechnical expertise regarding data models, database design development, data mining and segmentation techniques\nExperience with ETL development both on premises and in the cloud\nStrong functional understanding of RDBMS DWH-BI conceptual knowledge",Information Technology,"['COTS', 'Data Modelling', 'Rdbms Concepts', 'Dwh', 'BI']",2025-06-12 15:19:26
Data Analyst,Virtusa,6-8 Years,,Hyderabad,"Minimum 6 years of experience as DataAnalyst with at least 3+ Years experience in Data Migration initiatives.\nExperience in Migrating COTS/legacy systems including large volumes of data without compromising its accuracy and completeness\nTechnical expertise regarding data models, database design development, data mining and segmentation techniques\nExperience with ETL development both on premises and in the cloud\nStrong functional understanding of RDBMS DWH-BI conceptual knowledge",Information Technology,"['COTS', 'Data Modelling', 'Rdbms Concepts', 'Dwh', 'BI']",2025-06-12 15:19:27
Data Analyst,Virtusa,7-8 Years,,Bengaluru,"Minimum 6 years of experience as DataAnalyst with at least 3+ Years experience in Data Migration initiatives.\nExperience in Migrating COTS/legacy systems including large volumes of data without compromising its accuracy and completeness\nTechnical expertise regarding data models, database design development, data mining and segmentation techniques\nExperience with ETL development both on premises and in the cloud\nStrong functional understanding of RDBMS DWH-BI conceptual knowledge",Information Technology,"['COTS', 'Data Modelling', 'Rdbms Concepts', 'Dwh', 'BI']",2025-06-12 15:19:28
Data Analyst,Virtusa,6-8 Years,,"Hyderabad, Bengaluru, Chennai","Minimum 6 years of experience as DataAnalyst with at least 3+ Years experience in Data Migration initiatives.\nExperience in Migrating COTS/legacy systems including large volumes of data without compromising its accuracy and completeness\nTechnical expertise regarding data models, database design development, data mining and segmentation techniques\nExperience with ETL development both on premises and in the cloud\nStrong functional understanding of RDBMS DWH-BI conceptual knowledge",Information Technology,"['COTS', 'Data Modelling', 'Rdbms Concepts', 'Dwh', 'BI']",2025-06-12 15:19:30
Data Analyst,Virtusa,2-4 Years,,Hyderabad,"Responsible for developing and creating BI and data analysis content to support decision-making and performance optimization.\nEnsure accurate reporting to stakeholders, improving transparency and data-driven insights.\nHold a bachelor's degree in Computer Science, IT, or a related field as a minimum requirement.\nExpertise in Azure Data Analytics, including Power BI and MS Fabric for data visualization and insights.\nExperience with Databricks for data processing, transformation, and analytics.\nProficiency in Azure DevOps for managing data workflows, automation, and collaboration.\nKnowledge of Confluence for documentation, project tracking, and team collaboration.\nStrong analytical and problem-solving skills to ensure effective data interpretation and recommendations.\nAbility to design, implement, and optimize BI solutions for business intelligence and reporting needs.\nCollaborate with cross-functional teams to ensure seamless integration of data analytics solutions into business operations.",Information Technology,"['Reporting', 'Business Analytics', 'Sql', 'Excel', 'Data Visualization']",2025-06-12 15:19:31
Data Analyst,Virtusa,5-8 Years,,Bengaluru,"Job Summary:\nWe are looking for a skilled Data Analyst to support a large-scale data migration initiative within the banking and insurance domain. The role involves analyzing, validating, and transforming data from legacy systems to modern platforms, ensuring regulatory compliance, data integrity, and business continuity.\nKey Responsibilities:\nCollaborate with business stakeholders, data architects, and IT teams to gather and understand data migration requirements.\nAnalyze legacy banking and insurance systems (e.g., core banking, policy admin, claims, CRM) to identify data structures and dependencies.\nWork with large-scale datasets and understand big data architectures (e.g., Hadoop, Spark, Hive) to support scalable data migration and transformation.\nPerform data profiling, cleansing, and transformation using SQL and ETL tools, with the ability to understand and write complex SQL queries and interpret the logic implemented in ETL workflows.\nDevelop and maintain data mapping documents and transformation logic specific to financial and insurance data (e.g., customer KYC, transactions, policies, claims).\nValidate migrated data against business rules, regulatory standards, and reconciliation reports.\nSupport UAT by preparing test cases and validating migrated data with business users.\nEnsure data privacy and security compliance throughout the migration process.\nDocument issues, risks, and resolutions related to data quality and migration.\nRequired Skills & Qualifications:\nBachelor's degree in Computer Science, Information Systems, Finance, or a related field.\n5+ years of experience in data analysis or data migration projects in banking or insurance.\nStrong SQL skills and experience with data profiling and cleansing.\nFamiliarity with ETL tools (e.g., Informatica, Talend, SSIS) and data visualization tools (e.g., Power BI, Tableau).\nExperience working with big data platforms (e.g., Hadoop, Spark, Hive) and handling large volumes of structured and unstructured data.\nUnderstanding of banking and insurance data domains (e.g., customer data, transactions, policies, claims, underwriting).\nKnowledge of regulatory and compliance requirements (e.g., AML, KYC, GDPR, IRDAI guidelines).\nExcellent analytical, documentation, and communication skills.\nPreferred Qualifications:\nExperience with core banking systems (e.g., Finacle, Flexcube) or insurance platforms\nExposure to cloud data platforms (e.g.,AWS, Azure, GCP).\nExperience working in Agile/Scrum environments.\nCertification in Business Analysis (e.g., CBAP, CCBA) or Data Analytics.",Information Technology,"['banking systems', 'Business Analysis', 'Data Analysis', 'Etl', 'cloud platform', 'Data Migration', 'Big Data Technologies', 'Data Visualization', 'Python']",2025-06-12 15:19:33
Data Analyst,Virtusa,6-10 Years,,Bengaluru,"We are looking for a skilled Data Analyst to support a large-scale data migration initiative within the banking and insurance domain. The role involves analyzing, validating, and transforming data from legacy systems to modern platforms, ensuring regulatory compliance, data integrity, and business continuity.\nKey Responsibilities:\nCollaborate with business stakeholders, data architects, and IT teams to gather and understand data migration requirements.\nAnalyze legacy banking and insurance systems (e.g., core banking, policy admin, claims, CRM) to identify data structures and dependencies.\nWork with large-scale datasets and understand big data architectures (e.g., Hadoop, Spark, Hive) to support scalable data migration and transformation.\nPerform data profiling, cleansing, and transformation using SQL and ETL tools, with the ability to understand and write complex SQL queries and interpret the logic implemented in ETL workflows.\nDevelop and maintain data mapping documents and transformation logic specific to financial and insurance data (e.g., customer KYC, transactions, policies, claims).\nValidate migrated data against business rules, regulatory standards, and reconciliation reports.\nSupport UAT by preparing test cases and validating migrated data with business users.\nEnsure data privacy and security compliance throughout the migration process.\nDocument issues, risks, and resolutions related to data quality and migration.\nRequired Skills & Qualifications:\nBachelor's degree in Computer Science, Information Systems, Finance, or a related field.\n5+ years of experience in data analysis or data migration projects in banking or insurance.\nStrong SQL skills and experience with data profiling and cleansing.\nFamiliarity with ETL tools (e.g., Informatica, Talend, SSIS) and data visualization tools (e.g., Power BI, Tableau).\nExperience working with big data platforms (e.g., Hadoop, Spark, Hive) and handling large volumes of structured and unstructured data.\nUnderstanding of banking and insurance data domains (e.g., customer data, transactions, policies, claims, underwriting).\nKnowledge of regulatory and compliance requirements (e.g., AML, KYC, GDPR, IRDAI guidelines).\nExcellent analytical, documentation, and communication skills.\nPreferred Qualifications:\nExperience with core banking systems (e.g., Finacle, Flexcube) or insurance platforms\nExposure to cloud data platforms (e.g.,AWS, Azure, GCP).\nExperience working in Agile/Scrum environments.\nCertification in Business Analysis (e.g., CBAP, CCBA) or Data Analytics.",Information Technology,"['banking systems', 'Business Analysis', 'Data Analysis', 'Etl', 'cloud platform', 'Data Migration', 'Big Data Technologies', 'Data Visualization', 'Python']",2025-06-12 15:19:34
Data Analyst / Technical Business Analyst,Virtusa,4-6 Years,,Bengaluru,"Key Responsibilities:\nCollaborate with business stakeholders, data architects, and IT teams to gather and understand data migration requirements.\nAnalyze legacy banking and insurance systems (e.g., core banking, policy admin, claims, CRM) to identify data structures and dependencies.\nWork with large-scale datasets and understand big data architectures (e.g., Hadoop, Spark, Hive) to support scalable data migration and transformation.\nPerform data profiling, cleansing, and transformation using SQL and ETL tools, with the ability to understand and write complex SQL queries and interpret the logic implemented in ETL workflows.\nDevelop and maintain data mapping documents and transformation logic specific to financial and insurance data (e.g., customer KYC, transactions, policies, claims).\nValidate migrated data against business rules, regulatory standards, and reconciliation reports.\nSupport UAT by preparing test cases and validating migrated data with business users.\nEnsure data privacy and security compliance throughout the migration process.\nDocument issues, risks, and resolutions related to data quality and migration.\nRequired Skills & Qualifications:\nBachelor's degree in Computer Science, Information Systems, Finance, or a related field.\n5+ years of experience in data analysis or data migration projects in banking or insurance.\nStrong SQL skills and experience with data profiling and cleansing.\nFamiliarity with ETL tools (e.g., Informatica, Talend, SSIS) and data visualization tools (e.g., Power BI, Tableau).\nExperience working with big data platforms (e.g., Hadoop, Spark, Hive) and handling large volumes of structured and unstructured data.\nUnderstanding of banking and insurance data domains (e.g., customer data, transactions, policies, claims, underwriting).\nKnowledge of regulatory and compliance requirements (e.g., AML, KYC, GDPR, IRDAI guidelines).\nExcellent analytical, documentation, and communication skills.\nPreferred Qualifications:\nExperience with core banking systems (e.g., Finacle, Flexcube) or insurance platforms\nExposure to cloud data platforms (e.g.,AWS, Azure, GCP).\nExperience working in Agile/Scrum environments.\nCertification in Business Analysis (e.g., CBAP, CCBA) or Data Analytics.",Information Technology,"['CCBA', 'Cbap', 'AWS', 'Flexcube', 'Aml']",2025-06-12 15:19:35
